n,i,t,a
Palo Alto,19147,6419903,0.378
Pamlico,37137,229706,0.367
Panola,48365,58084,0.103
Park,8093,123411,0.413
Parke,18121,5500165,1.682
Parmer,48369,1159130,0.533
Pasquotank,37139,291364,0.717
Patrick,51141,18859,0.834
Paulding,39125,6790812,0.885
Pawnee,40117,1279434,0.054
Peach,13225,19973,0.402
Pembina,38067,1201027,0.251
Pemiscot,29155,233123,0.664
Pender,37141,1714546,2.136
Pendleton,54071,67078,0.661
Pennington,46103,829288,0.29
Peoria,17143,161106,0.012
Pepin,55091,690915,0.586
Perkins,46105,6263508,0.331
Perquimans,37143,295174,0.929
Perry,5105,27841540,0.421
Person,37145,247010,1.029
Pettis,29159,1195522,0.364
Phelps,31137,5211026,0.189
Phillips,8095,8688860,0.488
Piatt,17147,7547585,0.784
Pickaway,39129,2809872,0.471
Pierce,55093,30991135,0.356
Pike,5109,168869880,1.526
Pinal,4021,9104,0.35
Pine,27115,510083,0.585
Pipestone,27117,1674840,0.132
Pitt,37147,2593199,3.589
Pittsylvania,51143,866694,1.477
Platte,56031,13341945,0.339
Plymouth,25023,1742294,0.06
Pocahontas,54075,7145040,0.271
Poinsett,5111,34263,0.838
Polk,55095,182518836,1.245
Pontotoc,40123,318966,0.747
Pope,5115,13521339,0.328
Portage,55097,2145596,0.796
Porter,18127,437936,0.091
Posey,18129,5962611,1.21
Pottawatomie,40125,377164,0.083
Potter,48375,1406607,0.042
Powell,30077,244902,1.017
Poweshiek,19157,7873845,0.626
Prairie,5117,31230,0.515
Pratt,20151,1185535,0.439
Preble,39135,5191359,0.978
Prentiss,28117,90969,1.085
Presque Isle,26141,13286,0.24
Price,55099,236866,1.249
Prince Edward,51147,268123,1.491
Prince George,51149,308292,1.985
Prince George's,24033,43356,0.31
Prowers,8099,3612233,0.912
Pueblo,8101,543166,0.927
Pulaski,5119,14595623,0.322
Putnam,54079,121610745,1.067
Quay,35037,52477,0.863
Queen Anne's,24035,1263334,0.494
Quitman,28119,831120,0.821
Racine,55101,2097657,0.801
Ralls,29173,2430539,0.914
Ramsey,38071,14360508,0.484
Randall,48381,56972,2.444
Randolph,54083,42475384,0.795
Rankin,28121,25504,0.352
Ransom,38073,2574845,0.422
Rapides,22079,246672,0.922
Rawlins,20153,1134407,0.075
Ray,29177,805212,0.489
Red Lake,27125,402454,0.185
Red River,48387,731072,0.666
Red Willow,31145,4550444,0.529
Redwood,27127,4974011,0.273
Refugio,48391,28424,0.127
Reno,20155,609455,0.161
Rensselaer,36083,10368,0.476
Renville,38075,21044528,0.294
Republic,20157,138213,0.042
Rice,27131,6506958,0.225
Richardson,31147,1669568,0.438
Richland,55103,75872251,0.726
Richmond,51760,1699770,0.626
Riley,20161,33267,0.089
Ringgold,19159,6673458,1.222
Ripley,29181,8055052,1.186
Roberts,48393,8562668,0.14
Robertson,48395,3645447,0.435
Robeson,37155,4005140,2.4
Rock,55105,23579358,0.494
Rock Island,17161,3184301,0.995
Rockbridge,51163,167535,0.803
Rockingham,51165,1301073,1.146
Rolette,38079,21523,0.072
Rooks,20163,69252,0.081
Roosevelt,35041,31206,0.031
Roseau,27135,224090,0.462
Rosebud,30087,98790,0.441
Ross,39141,898904,0.326
Rowan,37159,194586,0.233
Rush,20165,4028398,0.402
Rusk,55107,2677336,0.938
Russell,51167,442852,0.812
Rutherford,47149,375400,1.078
Rutland,50021,14483,0.359
Sac,19161,3233519,0.196
Sacramento,6067,92895,0.279
Saginaw,26145,432853,0.112
Salem,51775,1541812,1.223
Saline,5125,17332460,0.243
Saluda,45081,15801,0.885
Sampson,37163,5302932,1.846
San Joaquin,6077,102712,0.192
San Patricio,48409,253605,0.156
Sanborn,46111,3307497,0.363
Sandusky,39143,3732119,1.763
Sangamon,17167,14714996,0.804
Sanilac,26151,467404,0.12
Santa Rosa,12113,451,0.045
Saratoga,36091,81082,0.3
Sargent,38081,6542349,0.597
Sarpy,31153,828733,0.531
Sauk,55111,3862816,1.387
Saunders,31155,4492995,0.919
Sawyer,55113,671642,0.876
Schley,13249,13183,1.276
Schoharie,36095,30988,0.918
Schuyler,36097,6365493,0.776
Schuylkill,42107,272990,0.635
Scioto,39145,230911,0.715
Scotland,37165,9258688,0.976
Scott,5127,165959167,0.85
Scotts Bluff,31157,4403323,0.471
Screven,13251,381725,1.815
Sedgwick,8115,1369260,0.301
Seminole,40133,94005,0.121
Seneca,39147,13972754,0.967
Seward,31159,7753462,0.369
Sharkey,28125,175524,2.101
Shawano,55115,5641188,1.577
Shawnee,20177,168378,0.032
Sheboygan,55117,393956,0.137
Shelby,48419,127717812,0.483
Shenandoah,51171,71556,0.121
Sherburne,27141,448474,0.462
Sheridan,56033,26564530,0.254
Sherman,48421,42858452,0.19
